พื้นที่,เนื้อที่ยืนต้น ให้ผลผลิต (ไร่),เนื้อที่ยืนต้น ยังไม่ให้ผลผลิต (ไร่),รวม (ไร่),ผลผลิตที่เก็บเกี่ยวได้ (กิโลกรัม)
มะขาม,187,477,664,0
เกาะคา,"4,830.75","4,021.00","8,851.75","51,600.00"
มะขาม,655,390,"1,045.00",0
เสริมงาม,"2,582.00","1,311.00","3,893.00","140,835.00"
มะขาม,45,0,45,"12,000.00"
งาว,"9,107.75","6,997.25","16,105.00","173,628.76"
มะขาม,82,125,207,0
แจ้ห่ม,"4,070.00","7,184.00","11,254.00","489,690.00"
มะขาม,290,185,475,"55,890.00"
วังเหนือ,"9,140.00","1,544.53","10,684.53","5,610,600.00"
มะขาม,760,118,878,"157,000.00"
เถิน,"14,128.00","19,647.00","33,775.00","241,150.00"
มะขาม,437,259,696,0
แม่พริก,"1,562.50","3,178.50","4,741.00",218.33
มะขาม,0,150,150,0
แม่ทะ,"2,049.50",572.5,"2,622.00",0
สบปราบ,"3,043.00","1,188.00","4,231.00","401,760.00"
มะขาม,514,338,852,"296,217.00"
ห้างฉัตร,"3,139.00","1,970.13","5,109.13","705,575.00"
เมืองปาน,"6,918.00","3,652.00","10,570.00",0
เมืองลำพูน,"44,304.00",217,"44,521.00","38,506,260.00"
มะขาม,7,0,7,0
แม่ทา,"28,479.00",169,"28,648.00","16,271,900.00"
บ้านโฮ่ง,"50,628.00",608,"51,236.00","37,356,200.00"
ลี้,"83,182.00","4,039.00","87,221.00","27,424,903.00"
มะขาม,96,6,102,"60,000.00"
ทุ่งหัวช้าง,"13,191.00",151,"13,342.00","5,594,900.00"
ป่าซาง,"49,317.00",379,"49,696.00","51,087,500.00"
มะขาม,0,2,2,0
บ้านธิ,"14,706.00",0,"14,706.00","10,224,600.00"
เวียงหนองล่อง,"19,994.00",108,"20,102.00","15,968,740.00"
มะขาม,0,1,1,0
เมืองเลย,"99,859.00","157,439.00","257,298.00","6,889,816.00"
มะขาม,"6,909.00",100,"7,009.00",0
นาด้วง,"44,298.13","56,700.11","100,998.24","179,182.50"
มะขาม,"2,115.00",335,"2,450.00",0
เชียงคาน,"93,493.33","30,465.45","123,958.78","133,510,403.50"
มะขาม,570.46,422.75,993.21,0
ปากชม,"266,023.00","94,279.00","360,302.00","294,462,411.50"
ด่านซ้าย,"26,762.00","31,579.50","58,341.50","34,055,650.00"
มะขาม,"1,853.00",536,"2,389.00","493,000.00"
นาแห้ว,"7,858.95","4,005.62","11,864.57","18,400,988.50"
มะขาม,53,10,63,0
ภูเรือ,"29,838.90","18,986.50","48,825.40","22,650,558.00"
มะขาม,493.5,726,"1,219.50","655,000.00"
ท่าลี่,"44,388.75","17,470.00","61,858.75","94,903,571.50"
มะขาม,"8,249.75",0,"8,249.75","10,711,175.00"
วังสะพุง,"119,242.75","48,878.75","168,121.50","20,201,554.00"
มะขาม,"4,179.00","5,870.00","10,049.00",0
ภูกระดึง,"7,693.00","4,657.00","12,350.00","1,060,550.00"
มะขาม,"2,926.00",39,"2,965.00",0
ภูหลวง,"17,146.00","2,595.00","19,741.00","12,915,849.00"
มะขาม,"2,469.00",230,"2,699.00","1,226,620.00"
ผาขาว,"21,235.00","2,363.00","23,598.00","6,202,400.90"
มะขาม,304,80,384,0
เอราวัณ,"17,302.00","11,626.00","28,928.00","1,183,720.00"
มะขาม,845,0,845,0
หนองหิน,"7,430.00","9,569.50","16,999.50","3,904,536.85"
มะขาม,"1,229.00",0,"1,229.00","1,933,500.00"
เมืองศรีสะเกษ,12,0,12,0
ยางชุมน้อย,117,115,232,0
กันทรารมย์,"3,687.25","10,713.00","14,400.25",0
กันทรลักษ์,"97,232.00","17,273.00","114,505.00","83,058,760.19"
ขุขันธ์,"4,988.00","9,478.75","14,466.75","6,980,007.00"
มะขาม,0,2,2,0
ไพรบึง,"2,258.75","2,407.50","4,666.25","845,680.00"
ปรางค์กู่,"2,046.00","3,202.50","5,248.50","4,150.00"
ขุนหาญ,"73,186.50","27,376.25","100,562.75","98,955,450.00"
ราษีไศล,73,478,551,0
อุทุมพรพิสัย,"1,063.00","1,013.00","2,076.00","89,085.00"
บึงบูรพ์,528,580,"1,108.00",300
ห้วยทับทัน,523,0,523,0
โนนคูณ,"1,287.00","2,837.15","4,124.15",0
ศรีรัตนะ,"4,963.25","4,943.28","9,906.53","16,745,447.37"
น้ำเกลี้ยง,"13,162.00","3,411.00","16,573.00",0
วังหิน,638.5,"1,945.75","2,584.25","3,000.00"
ภูสิงห์,"23,477.00","4,361.00","27,838.00","7,239,125.00"
เมืองจันทร์,445,"1,311.00","1,756.00","338,725.00"
เบญจลักษ์,0,"12,810.00","12,810.00",0
พยุห์,346.5,912.25,"1,258.75",0
โพธิ์ศรีสุวรรณ,431,858.25,"1,289.25","171,125.00"
ศิลาลาด,0,20.25,20.25,0
เมืองสกลนคร,"8,515.00","6,213.00","14,728.00","1,379,000.00"
มะขาม,113,42,155,"40,000.00"
กุสุมาลย์,"5,708.00","4,895.00","10,603.00","63,884,300.00"
กุดบาก,"13,714.25","4,279.00","17,993.25","8,536,370.00"
มะขาม,23,1,24,"103,000.00"
พรรณานิคม,"15,390.00","13,454.00","28,844.00","7,056,908.50"
มะขาม,43,0,43,"9,700.00"
พังโคน,"3,163.00","6,588.00","9,751.00",0
วาริชภูมิ,"38,831.00","9,596.00","48,427.00","2,356,000.00"
นิคมน้ำอูน,"19,432.82","10,550.00","29,982.82","3,587,500.00"
วานรนิวาส,"9,551.00","24,345.00","33,896.00","45,626,203.00"
มะขาม,14,14,28,110
คำตากล้า,"31,186.00","43,087.00","74,273.00","11,025,638.00"
มะขาม,3,8,11,"3,300.00"
บ้านม่วง,"38,663.72","25,828.97","64,492.69","18,470,823.00"
มะขาม,38,53,91,"28,550.00"
อากาศอำนวย,"11,527.00","4,766.00","16,293.00","49,405,210.00"
สว่างแดนดิน,"49,838.00","13,751.31","63,589.31",0
ส่องดาว,"9,647.94","18,299.01","27,946.95","9,497,560.00"
มะขาม,7,7,14,"4,000.00"
เต่างอย,"4,301.00","9,924.00","14,225.00","8,266,000.00"
มะขาม,0,112,112,0
โคกศรีสุพรรณ,"11,988.07","1,874.93","13,863.00","8,560,575.39"
มะขาม,59,1,60,"59,100.00"
เจริญศิลป์,"13,585.87","6,738.00","20,323.87","9,584,622.50"
มะขาม,50,50,100,400
โพนนาแก้ว,"5,484.00","1,888.00","7,372.00","34,010,230.00"
มะขาม,4,4,8,0
ภูพาน,"19,748.00","8,817.00","28,565.00","1,609,100.00"
มะขาม,170,62,232,"111,800.00"
เมืองสงขลา,"23,243.50","5,068.00","28,311.50","1,677,288.82"
สทิงพระ,"7,205.25","4,065.55","11,270.80","8,519,227.66"
จะนะ,"154,386.00","43,366.00","197,752.00","2,076,369.96"
นาทวี,"282,733.50","49,646.00","332,379.50",0
เทพา,"291,269.75","3,184.50","294,454.25","486,944,568.32"
สะบ้าย้อย,"186,574.27","47,093.30","233,667.57","19,931,896.48"
ระโนด,"31,869.41","7,398.34","39,267.75","156,705,712.33"
สะเดา,"369,114.00","70,580.00","439,694.00","95,622,632.67"
หาดใหญ่,"198,726.83","90,296.85","289,023.68","123,055,389.94"
นาหม่อม,"37,641.75","1,761.00","39,402.75","2,859,452.64"
ควนเนียง,"46,423.00","5,721.00","52,144.00","62,272,718.31"
บางกล่ำ,"23,281.75","1,119.25","24,401.00","4,582,469.93"
สิงหนคร,"9,891.75","3,002.25","12,894.00","11,028,794.00"
มะขาม,8,0,8,"18,000.00"
คลองหอยโข่ง,"83,170.25","15,405.00","98,575.25","7,070,278.18"
เมืองสตูล,"110,607.33","18,034.00","128,641.33","53,476,798.71"
ควนโดน,"42,099.78","17,418.55","59,518.33","13,669,468.62"
ควนกาหลง,"123,953.25","10,587.20","134,540.45","133,234,961.40"
ท่าแพ,"56,210.68","19,198.10","75,408.78","25,681,140.18"
สะเดา,0.5,0,0.5,0
ละงู,"75,143.75","26,552.25","101,696.00","169,278,866.52"
ทุ่งหว้า,"68,353.22","41,114.36","109,467.58","18,627,563.96"
มะนัง,"67,486.00","14,443.50","81,929.50","364,714,743.00"
เมืองสมุทรปราการ,230.25,18.8,249.05,"1,440.00"
บางบ่อ,"5,590.00",327,"5,917.00","2,465,212.00"
บางพลี,"2,557.00",21,"2,578.00","1,811,230.00"
พระประแดง,"1,462.00",144,"1,606.00","44,316.00"
พระสมุทรเจดีย์,148,110,258,"362,208.00"
บางเสาธง,"5,632.00","4,684.00","10,316.00","1,127,712.00"
เมืองสมุทรสงคราม,"24,884.00",198,"25,082.00","42,436,700.00"
มะขาม,0,7,7,0
บางคนที,"32,854.00","5,646.50","38,500.50","44,390,796.00"
อัมพวา,"31,194.00",891,"32,085.00","46,566,506.05"
เมืองสมุทรสาคร,"3,867.10","1,451.00","5,318.10","19,384,100.00"
กระทุ่มแบน,"4,995.00","3,126.00","8,121.00","8,279,440.00"
บ้านแพ้ว,"47,181.25","6,782.00","53,963.25","147,639,237.50"
เมืองสระแก้ว,"9,369.00","33,615.00","42,984.00","22,964,129.10"
คลองหาด,"6,161.00","4,776.00","10,937.00","25,435,849.00"
มะขาม,20,0,20,0
ตาพระยา,"1,343.00","5,647.00","6,990.00",0
วังน้ำเย็น,"4,041.00","16,599.00","20,640.00","1,267,395.37"
มะขาม,20,60,80,0
วัฒนานคร,"12,418.00","18,567.00","30,985.00","376,296,800.00"
อรัญประเทศ,"4,946.00","8,459.00","13,405.00","3,485,285.00"
เขาฉกรรจ์,"19,873.00","23,549.00","43,422.00","52,045,502.50"
โคกสูง,367,"1,167.00","1,534.00","450,000.00"
วังสมบูรณ์,"10,206.00","27,764.00","37,970.00",0
มะขาม,49,109,158,0
เมืองสระบุรี,615,154,769,0
แก่งคอย,"6,197.00","7,994.25","14,191.25",0
หนองแค,"4,775.75","2,872.00","7,647.75","42,307,461.00"
สะเดา,8.5,0,8.5,"4,505.00"
วิหารแดง,"6,816.00","2,931.00","9,747.00","16,461,500.00"
สะเดา,60,50,110,"12,250.00"
หนองแซง,231.25,5,236.25,0
บ้านหมอ,"3,309.00",0,"3,309.00","11,655,975.00"
ดอนพุด,0,4,4,0
หนองโดน,449,65,514,0
พระพุทธบาท,882,45,927,150
เสาไห้,227,82.5,309.5,"309,360.00"
มวกเหล็ก,"3,904.00","2,801.00","6,705.00","1,474,966.00"
มะขาม,224,122,346,"15,000.00"
วังม่วง,155,232,387,0
เฉลิมพระเกียรติ,973,75.75,"1,048.75","1,035,855.00"
เมืองสิงห์บุรี,302,981.74,"1,283.74","1,005,534.00"
บางระจัน,433.25,760.75,"1,194.00","2,170,990.00"
สะเดา,0,4.5,4.5,0
ค่ายบางระจัน,766.5,"1,386.75","2,153.25","325,499.02"
สะเดา,3.5,3,6.5,899
พรหมบุรี,411.15,706.9,"1,118.05","112,427.50"
มะขาม,0,0.75,0.75,0
สะเดา,0.9,0.9,1.8,5
ท่าช้าง,"1,044.00",284.25,"1,328.25","109,489.00"
อินทร์บุรี,591.5,371,962.5,"42,451.00"
เมืองสุโขทัย,910.75,"1,317.00","2,227.75","1,266,600.00"
บ้านด่านลานหอย,625,954.25,"1,579.25","350,300.00"
คีรีมาศ,"1,605.50",661.5,"2,267.00","704,570.00"
มะขาม,10,10,20,0
กงไกรลาศ,"1,243.00","1,292.00","2,535.00","866,737.00"
สะเดา,0,50,50,0
ศรีสัชนาลัย,"61,001.00","52,202.00","113,203.00","70,574,185.00"
ศรีสำโรง,"5,943.00","3,284.25","9,227.25","7,207,018.97"
มะขาม,15,25,40,"14,200.00"
สวรรคโลก,"37,144.00","5,424.00","42,568.00","56,880,675.00"
ศรีนคร,"5,718.50","6,401.00","12,119.50","12,157,270.00"
ทุ่งเสลี่ยม,"9,043.00","7,916.25","16,959.25","9,266,192.37"
มะขาม,0,6,6,0
เมืองสุพรรณบุรี,"12,261.00","3,372.50","15,633.50","17,921,675.00"
เดิมบางนางบวช,"2,727.25",656.25,"3,383.50","2,815,800.00"
ด่านช้าง,"7,389.00","9,065.00","16,454.00","4,388,442.00"
มะขาม,104,0,104,"24,400.00"
บางปลาม้า,547,553,"1,100.00","964,250.00"
ศรีประจันต์,"3,185.00",916,"4,101.00","490,000.00"
ดอนเจดีย์,"1,764.50","1,164.75","2,929.25","3,047,560.00"
สองพี่น้อง,498,50,548,"1,494,000.00"
สามชุก,"2,673.00",741,"3,414.00","952,150.00"
อู่ทอง,468.25,768.25,"1,236.50","28,000.00"
หนองหญ้าไซ,220,344,564,"97,000.00"
เมืองสุราษฎร์ธานี,"116,122.00","8,211.00","124,333.00","214,490,676.00"
กาญจนดิษฐ์,"517,950.12","51,708.30","569,658.42","299,865,933.32"
ดอนสัก,"149,308.00","28,902.50","178,210.50","46,119,226.73"
เกาะสมุย,"45,343.00","8,219.00","53,562.00","22,801,735.00"
เกาะพะงัน,"20,505.75","1,301.50","21,807.25","22,183,764.32"
ไชยา,"258,028.96","34,335.05","292,364.01","2,608,453,784.79"
ท่าชนะ,"275,195.00","51,899.00","327,094.00","232,322,360.23"
คีรีรัฐนิคม,"225,556.00","56,294.00","281,850.00","256,660,191.00"
บ้านตาขุน,"58,139.00","14,401.00","72,540.00","30,117,873.00"
พนม,"187,967.22","36,382.52","224,349.74","503,901,837.09"
ท่าฉาง,"330,453.00","35,266.00","365,719.00","184,932,534.27"
มะขาม,0,6,6,0
บ้านนาสาร,"230,846.50","82,699.00","313,545.50","142,887,225.12"
บ้านนาเดิม,"88,684.50","14,397.45","103,081.95","56,449,492.25"
เคียนซา,"304,100.00","28,113.00","332,213.00","93,301,248.64"
เวียงสระ,"132,444.00","34,907.50","167,351.50","41,498,411.95"
พระแสง,"454,962.00","59,790.50","514,752.50","477,643,035.34"
พุนพิน,"392,844.02","38,476.25","431,320.27",0
ชัยบุรี,"176,580.50","22,694.00","199,274.50","240,946,329.33"
วิภาวดี,"114,620.94","14,475.73","129,096.67","46,965,955.27"
เมืองสุรินทร์,"8,179.00","6,206.00","14,385.00","14,204,760.00"
ชุมพลบุรี,"8,672.00",294,"8,966.00","5,199,750.00"
ท่าตูม,"7,245.00","11,581.25","18,826.25","666,000.00"
จอมพระ,"2,589.75","2,627.75","5,217.50",0
ปราสาท,"6,650.95","6,732.50","13,383.45","50,751,815.00"
มะขาม,0,0,0,0
กาบเชิง,"9,183.00","10,425.00","19,608.00","6,743,536.00"
รัตนบุรี,"3,911.00",6,"3,917.00",0
สนม,"1,725.47","4,189.81","5,915.28","150,977.20"
ศีขรภูมิ,"5,400.00","7,850.00","13,250.00","19,943,476.00"
สังขะ,"55,191.00","31,572.00","86,763.00","16,278,301.50"
ลำดวน,"1,425.00",556,"1,981.00","549,405.00"
สำโรงทาบ,0,16,16,0
บัวเชด,"26,306.50","20,151.87","46,458.37","868,780.00"
พนมดงรัก,"35,051.00","16,363.00","51,414.00","9,198,980.00"
ศรีณรงค์,"37,701.58","17,034.75","54,736.33","9,929,773.00"
เขวาสินรินทร์,360.25,"1,510.75","1,871.00","605,500.00"
โนนนารายณ์,15,130,145,0
เมืองหนองคาย,"3,600.63","2,340.12","5,940.75","28,625,083.00"
มะขาม,2,4,6,600
ท่าบ่อ,"7,593.50","7,168.22","14,761.72","3,798,660.00"
มะขาม,0,10,10,0
โพนพิสัย,"41,663.41","26,833.76","68,497.17","36,316,004.50"
ศรีเชียงใหม่,"9,311.00",786.82,"10,097.82","2,096,019.00"
สังคม,"70,317.25","15,988.75","86,306.00","39,978,950.00"
มะขาม,3,0,3,0
สระใคร,"2,255.20","4,990.00","7,245.20","20,500.00"
เฝ้าไร่,"29,492.24","22,530.79","52,023.03","9,677,362.00"
รัตนวาปี,"48,841.00","18,090.00","66,931.00","21,192,185.00"
โพธิ์ตาก,"16,995.00","19,373.75","36,368.75","25,843,686.95"
มะขาม,3,0,3,"1,000.00"
เมืองหนองบัวลำภู,"18,885.00","15,226.50","34,111.50","10,264,734.50"
มะขาม,257,0,257,"234,000.00"
นากลาง,"20,519.00","9,194.00","29,713.00","7,925,890.00"
มะขาม,30,18,48,0
โนนสัง,"9,095.52","8,125.38","17,220.90","8,720,444.00"
ศรีบุญเรือง,"21,181.50","20,518.50","41,700.00","18,776,183.00"
สุวรรณคูหา,"28,023.00","15,626.25","43,649.25","18,522,270.00"
มะขาม,239,0,239,0
นาวัง,"12,887.75","3,430.00","16,317.75","9,535,598.00"
มะขาม,368,0,368,0
เมืองอ่างทอง,"3,202.25","3,399.00","6,601.25","1,821,290.00"
สะเดา,0,4,4,0
ไชโย,"2,423.50",773,"3,196.50","5,978,227.00"
ป่าโมก,"2,954.00",632.25,"3,586.25","9,149,500.00"
มะขาม,0,0.5,0.5,0
สะเดา,0,1,1,0
โพธิ์ทอง,"4,934.00","5,845.50","10,779.50","4,411,997.00"
แสวงหา,"3,321.00",713,"4,034.00","2,882,080.05"
วิเศษชัยชาญ,"3,993.75","3,502.75","7,496.50","4,901,567.00"
มะขาม,14,3,17,"18,200.00"
สะเดา,0,3,3,0
สามโก้,"6,203.00","3,051.00","9,254.00","7,731,000.00"
มะขาม,28.25,2,30.25,0
เมืองอำนาจเจริญ,"1,400.00","3,497.00","4,897.00","2,475,000.00"
มะขาม,0,20,20,0
ชานุมาน,"19,289.00","2,318.00","21,607.00",0
มะขาม,110,0,110,0
ปทุมราชวงศา,"15,590.43",307.25,"15,897.68","1,682,967.88"
พนา,0,0,0,0
เสนางคนิคม,"12,066.00","8,305.00","20,371.00",0
มะขาม,20,0,20,0
หัวตะพาน,"1,058.50","3,855.00","4,913.50","10,000.00"
ลืออำนาจ,251,"1,310.00","1,561.00",0
เมืองอุดรธานี,"8,990.50","7,888.00","16,878.50","21,721,507.00"
มะขาม,22,1,23,"138,000.00"
กุดจับ,"26,329.00","11,379.00","37,708.00","5,050,430.03"
มะขาม,14,27,41,"13,750.00"
หนองวัวซอ,"17,184.75","3,241.85","20,426.60","30,842,195.08"
มะขาม,10,0,10,0
กุมภวาปี,"7,941.25","2,881.73","10,822.98","8,001,437.07"
มะขาม,5,5,10,0
โนนสะอาด,"5,852.00","12,849.00","18,701.00","423,140.00"
หนองหาน,"5,446.00","10,460.00","15,906.00","243,832.50"
มะขาม,0,6,6,0
ทุ่งฝน,"8,487.75","1,382.25","9,870.00","3,145,843.00"
มะขาม,0,2,2,0
ไชยวาน,"5,333.00","5,215.00","10,548.00","269,550.00"
ศรีธาตุ,"8,322.00","9,237.00","17,559.00","12,182,610.00"
วังสามหมอ,"42,239.61","11,919.36","54,158.97","7,764,800.22"
บ้านดุง,"28,319.50","45,704.50","74,024.00","8,644,388.00"
มะขาม,34,64,98,0
บ้านผือ,"15,981.00","30,047.00","46,028.00","1,031,083.00"
มะขาม,0,155,155,0
น้ำโสม,"72,045.00","43,072.00","115,117.00","11,780,473.00"
มะขาม,57,0,57,0
เพ็ญ,"4,634.00","23,341.00","27,975.00","490,981.50"
มะขาม,8,119,127,0
สร้างคอม,"3,708.00","6,168.00","9,876.00","70,926,550.00"
มะขาม,200,445,645,"20,600.00"
หนองแสง,"15,083.00","19,124.00","34,207.00","6,170,638.00"
มะขาม,10,42,52,30
นายูง,"10,534.75","2,055.00","12,589.75","44,473,650.00"
มะขาม,4,0,4,"1,000.00"
พิบูลย์รักษ์,"2,523.00","6,070.00","8,593.00","2,790,934.00"
มะขาม,4,4,8,"1,200.00"
กู่แก้ว,"9,509.00","6,014.00","15,523.00","8,558,082.65"
ประจักษ์ศิลปาคม,"1,705.75","3,337.00","5,042.75","54,459,440.00"
เมืองอุตรดิตถ์,"11,279.45","16,101.50","27,380.95","3,000.00"
มะขาม,66,145,211,0
ตรอน,369.75,517.5,887.25,"15,685.00"
ท่าปลา,"34,041.00","9,913.00","43,954.00","3,624,000.00"
มะขาม,58,113,171,0
น้ำปาด,"2,264.25","4,853.00","7,117.25","40,070.00"
มะขาม,80,70,150,0
ฟากท่า,0,"8,852.00","8,852.00",0
มะขาม,0,"8,852.00","8,852.00",0
บ้านโคก,"11,810.00","9,922.39","21,732.39","10,677,070.00"
มะขาม,"5,368.00","3,740.00","9,108.00","5,460,565.00"
พิชัย,"2,895.80","1,174.20","4,070.00","1,855,800.00"
ลับแล,"27,444.75","10,015.75","37,460.50","38,187,812.50"
มะขาม,10,60,70,0
ทองแสนขัน,"1,297.75","10,061.25","11,359.00",0
มะขาม,0,7,7,0
สะเดา,0,5,5,0
เมืองอุทัยธานี,"1,626.25","1,459.75","3,086.00","45,000.00"
มะขาม,1,0,1,0
ทัพทัน,"2,042.25","1,106.25","3,148.50","1,435,326.00"
สว่างอารมณ์,"1,312.00","4,032.00","5,344.00",0
มะขาม,22,8,30,0
หนองฉาง,847,679,"1,526.00","34,270.00"
มะขาม,3,8,11,0
หนองขาหย่าง,795.25,627.33,"1,422.58","737,440.00"
บ้านไร่,"16,874.00","14,374.00","31,248.00","5,973,370.00"
มะขาม,10,15,25,0
ลานสัก,"6,178.75","5,128.45","11,307.20","3,920,144.50"
มะขาม,23,52,75,"1,000.00"
ห้วยคต,"7,830.00","4,736.00","12,566.00","12,272,180.00"
เมืองอุบลราชธานี,37,45.75,82.75,"43,000.00"
โขงเจียม,"21,499.00","15,915.60","37,414.60",0
มะขาม,35,5,40,0
เขื่องใน,"7,502.75","7,643.00","15,145.75",0
เขมราฐ,"3,601.00","9,273.25","12,874.25",0
เดชอุดม,"33,170.00","3,776.00","36,946.00","7,675,520.00"
นาจะหลวย,"42,502.00","16,654.00","59,156.00","191,121,050.00"
น้ำยืน,"29,470.00","21,361.00","50,831.00","4,913,421.00"
มะขาม,40,25,65,0
บุณฑริก,"14,025.10","94,223.51","108,248.61",0
ตระการพืชผล,"3,745.25","1,065.13","4,810.38",0
กุดข้าวปุ้น,"8,518.00","2,266.00","10,784.00","12,000.00"
ม่วงสามสิบ,"3,002.00","4,345.00","7,347.00",0
มะขาม,25,25,50,0
วารินชำราบ,"1,138.50","2,440.50","3,579.00","17,600.00"
พิบูลมังสาหาร,"6,985.00","5,720.00","12,705.00",0
ตาลสุม,"1,589.00","1,659.00","3,248.00","114,360.00"
โพธิ์ไทร,"18,691.00","15,720.00","34,411.00","3,327,498.00"
มะขาม,45,0,45,"12,100.00"
สำโรง,116,"1,050.00","1,166.00",0
สิรินธร,"24,575.00","20,756.00","45,331.00","5,632,415.69"
ทุ่งศรีอุดม,"10,140.00","3,985.00","14,125.00","7,315,700.00"
นาเยีย,"2,738.25","3,439.90","6,178.15","19,146,280.00"
นาตาล,"1,070.60","1,970.50","3,041.10","147,482.00"
มะขาม,97,0,97,0
เหล่าเสือโก้ก,"3,336.25","1,388.00","4,724.25","1,507,894.97"
น้ำขุ่น,"13,806.00","5,441.00","19,247.00","5,956,050.00"
