พื้นที่,เนื้อที่ปลูก,ผลผลิต
เมืองกระบี่,"2,417.00","557,125.00"
เขาพนม,"1,995.50","4,831,700.00"
เกาะลันตา,309,"865,450.00"
คลองท่อม,842,"348,862.00"
อ่าวลึก,"2,340.00","372,510.00"
ปลายพระยา,"1,207.00","574,445.00"
ลำทับ,181,620
เหนือคลอง,"1,431.00","3,793,752.00"
เมืองกาญจนบุรี,"158,612.00","874,021,660.00"
ไทรโยค,"128,963.05","446,779,365.00"
บ่อพลอย,"239,525.00","1,193,545,889.00"
ศรีสวัสดิ์,"71,527.25","68,521,800.00"
ท่ามะกา,"243,030.50","783,957,266.00"
ท่าม่วง,"193,322.75","571,661,793.00"
ทองผาภูมิ,"31,612.00","79,331,475.00"
สังขละบุรี,"10,627.00","21,098,800.00"
พนมทวน,"272,692.00","960,526,357.50"
เลาขวัญ,"305,447.00","633,889,250.48"
ด่านมะขามเตี้ย,"91,927.00","74,080,109.00"
หนองปรือ,"137,291.00","603,247,335.32"
ห้วยกระเจา,"185,658.87","227,538,800.00"
เมืองกาฬสินธุ์,"231,952.75","53,276,435.00"
นามน,"60,187.43","5,641,730.00"
กมลาไสย,"248,017.00","76,256,252.00"
ร่องคำ,"42,876.00","9,750,000.00"
กุฉินารายณ์,"219,588.75","114,823,950.00"
เขาวง,"93,611.00","27,453,680.00"
ยางตลาด,"256,260.62","224,104,975.00"
ห้วยเม็ก,"130,050.80","62,903,075.00"
สหัสขันธ์,"105,019.00","284,020,985.00"
คำม่วง,"115,686.50","175,290,112.00"
ท่าคันโท,"55,672.50","11,620,880.00"
หนองกุงศรี,"175,289.00","257,801,750.02"
สมเด็จ,"109,553.05","35,296,155.00"
ห้วยผึ้ง,"75,660.00","20,454,040.00"
สามชัย,"94,245.10","216,466,503.30"
นาคู,"72,200.75","31,037,977.10"
ดอนจาน,"65,665.09","34,900.00"
ฆ้องชัย,"97,780.00","141,250.00"
เมืองกำแพงเพชร,"549,130.24","2,145,582,970.00"
ไทรงาม,"331,194.00","1,033,634,635.00"
คลองลาน,"215,562.00","356,155,250.00"
ขาณุวรลักษบุรี,"569,895.06","1,323,200,403.72"
คลองขลุง,"233,980.00","113,667,500.00"
พรานกระต่าย,"316,768.00","419,733,600.00"
ลานกระบือ,"192,974.00","798,782,467.00"
ทรายทองวัฒนา,"113,531.75","800,651,950.00"
ปางศิลาทอง,"149,132.00","389,609,584.00"
บึงสามัคคี,"196,645.00","810,877,822.00"
โกสัมพีนคร,"68,782.00","104,376,342.00"
เมืองขอนแก่น,"328,649.00","575,914,556.40"
บ้านฝาง,"116,169.04","176,578,375.00"
พระยืน,"80,196.00","18,951,635.00"
หนองเรือ,"199,466.75","242,883,921.25"
ชุมแพ,"169,657.00","468,505,000.00"
สีชมพู,"166,436.50","974,484,373.50"
น้ำพอง,"275,075.25","544,147,194.00"
อุบลรัตน์,"89,422.85","144,695,333.00"
กระนวน,"178,502.25","754,668,558.50"
บ้านไผ่,"214,971.00","117,099,138.50"
เปือยน้อย,"84,959.00","146,364,600.00"
พล,"222,855.00","52,828,208.00"
แวงใหญ่,"82,942.00","20,249,970.00"
แวงน้อย,"121,831.00","41,262,170.00"
หนองสองห้อง,"324,483.00","82,981,500.00"
ภูเวียง,"130,265.00","17,715,550.00"
มัญจาคีรี,"230,396.00","572,296,214.00"
ชนบท,"105,500.75","58,653,125.00"
เขาสวนกวาง,"114,819.65","341,808,170.00"
ภูผาม่าน,"58,443.00","202,918,320.00"
ซำสูง,"85,472.00","235,871,250.00"
โคกโพธิ์ไชย,"82,079.00","78,611,475.00"
หนองนาคำ,"61,419.75","59,218,303.00"
บ้านแฮด,"91,616.00","149,000,640.00"
โนนศิลา,"68,948.54","48,410,432.02"
เวียงเก่า,"31,632.00","69,022,355.00"
เมืองจันทบุรี,"2,859.75","1,342,250.00"
ขลุง,636,"11,950.00"
ท่าใหม่,"4,962.50","35,143,131.00"
โป่งน้ำร้อน,"12,819.30","19,965,615.00"
มะขาม,390,"424,538.00"
แหลมสิงห์,936.55,"30,046.00"
สอยดาว,"14,954.53","18,282,448.06"
แก่งหางแมว,"6,409.00","25,574,347.00"
นายายอาม,"1,858.00","1,364,272.50"
เขาคิชฌกูฏ,244.5,0
เมืองฉะเชิงเทรา,"172,425.50","112,739,990.00"
บางคล้า,"30,941.00","19,970,846.00"
บางน้ำเปรี้ยว,"228,671.00","181,508,800.00"
บางปะกง,"18,386.00","12,793,666.25"
บ้านโพธิ์,"29,411.00","14,598,625.00"
พนมสารคาม,"142,157.25","75,642,610.00"
ราชสาส์น,"53,185.00","30,520,100.00"
สนามชัยเขต,"130,353.31","121,040,988.00"
แปลงยาว,"45,657.00","101,615,300.00"
ท่าตะเกียบ,"81,776.75","115,461,224.00"
คลองเขื่อน,"49,512.00","36,081,950.00"
เมืองชลบุรี,"2,838.42","636,438.10"
บ้านบึง,"148,674.50","532,561,500.00"
หนองใหญ่,"44,415.50","113,918,679.00"
บางละมุง,"50,418.95","53,900,676.00"
พานทอง,"13,204.00","4,138,146.00"
พนัสนิคม,"92,758.00","49,781,502.00"
ศรีราชา,"32,011.00",0
เกาะสีชัง,3,12
สัตหีบ,"9,585.50","2,007,625.00"
บ่อทอง,"59,560.00","165,040,376.00"
เกาะจันทร์,"8,247.00","23,312,173.00"
เมืองชัยนาท,"187,726.50","148,216,445.00"
มโนรมย์,"120,119.50","110,982,005.00"
วัดสิงห์,"124,584.25","197,714,030.00"
สรรพยา,"131,306.50","105,834,560.00"
สรรคบุรี,"248,159.00","248,989,443.00"
หันคา,"263,852.00","474,388,030.00"
หนองมะโมง,"134,328.25","502,336,724.00"
เนินขาม,"128,450.50","586,309,097.00"
เมืองชัยภูมิ,"378,374.85","198,889,072.75"
บ้านเขว้า,"162,630.25","97,398,800.00"
คอนสวรรค์,"167,962.42","28,049,289.00"
เกษตรสมบูรณ์,"242,157.42","587,934,500.00"
หนองบัวแดง,"234,365.00","429,274,800.00"
จัตุรัส,"330,665.00","504,334,650.00"
บำเหน็จณรงค์,"185,637.00","440,369,460.00"
หนองบัวระเหว,"205,381.00","324,841,400.00"
เทพสถิต,"214,795.25","736,119,350.00"
ภูเขียว,"225,369.00","58,406,500.00"
บ้านแท่น,"110,395.00","392,436,320.00"
แก้งคร้อ,"229,933.96","472,085,119.00"
คอนสาร,"83,958.34","219,664,815.50"
ภักดีชุมพล,"75,055.00","102,434,200.00"
เนินสง่า,"93,294.50","155,390,574.00"
ซับใหญ่,"113,610.00","47,082,515.00"
เมืองชุมพร,963,"373,763.00"
ท่าแซะ,"11,765.00","9,199,003.00"
ปะทิว,976,"1,511,716.00"
หลังสวน,672,"430,575.00"
ละแม,799,"1,557,077.00"
พะโต๊ะ,285,"325,250.00"
สวี,"1,296.00","1,124,120.00"
ทุ่งตะโก,376,"198,375.00"
เมืองเชียงราย,"239,986.50","136,615,331.00"
เวียงชัย,"114,515.42","48,015,497.10"
เชียงของ,"152,137.00","67,792,312.00"
เทิง,"170,252.00","138,614,200.00"
พาน,"289,785.00","114,829,370.00"
ป่าแดด,"55,158.75","34,382,750.00"
แม่จัน,"167,899.25","63,294,028.00"
เชียงแสน,"82,327.00","33,875,040.00"
แม่สาย,"129,882.35","75,791,730.00"
แม่สรวย,"146,492.00","114,207,750.00"
เวียงป่าเป้า,"129,189.50","91,051,000.00"
พญาเม็งราย,"64,181.00","32,820,150.00"
เวียงแก่น,"58,993.00","21,830,500.00"
ขุนตาล,"61,512.50","38,355,725.00"
แม่ฟ้าหลวง,"36,038.31","16,498,030.00"
แม่ลาว,"42,917.00","28,518,315.00"
เวียงเชียงรุ้ง,"79,814.30","48,542,153.06"
ดอยหลวง,"35,914.56","22,263,155.00"
เมืองเชียงใหม่,"2,789.25","864,295.75"
จอมทอง,"30,314.00","35,733,600.00"
แม่แจ่ม,"165,349.25","149,834,675.00"
เชียงดาว,"76,184.00","64,722,000.00"
ดอยสะเก็ด,"35,343.50","22,106,560.00"
แม่แตง,"27,896.00","19,949,280.00"
แม่ริม,"28,860.50","18,644,680.00"
สะเมิง,"27,635.50","40,381,572.00"
ฝาง,"50,556.50","56,874,850.00"
แม่อาย,"83,634.00","46,760,300.00"
พร้าว,"59,314.00","36,131,450.00"
สันป่าตอง,"26,458.00","23,280,350.00"
สันกำแพง,"38,789.75","25,540,500.00"
สันทราย,"28,424.00","23,750,836.00"
หางดง,"16,717.00","7,735,435.50"
ฮอด,"27,670.00","39,259,777.00"
ดอยเต่า,"14,251.50","11,148,727.50"
อมก๋อย,"56,016.00","36,763,000.00"
สารภี,"17,614.75","14,639,100.50"
เวียงแหง,"40,085.00","46,477,700.00"
ไชยปราการ,"19,304.25","20,664,005.00"
แม่วาง,"20,934.90","27,025,800.00"
แม่ออน,"13,129.00","9,795,519.00"
ดอยหล่อ,"9,927.00","6,605,050.00"
กัลยาณิวัฒนา,"24,437.00","36,318,600.00"
เมืองตรัง,"1,408.00","933,262.00"
กันตัง,154.2,0
ย่านตาขาว,833.82,"157,903.00"
ปะเหลียน,"1,803.87","7,500.00"
สิเกา,"1,231.00","1,323,500.00"
ห้วยยอด,"1,848.00","703,685.00"
วังวิเศษ,"1,645.00","5,675,900.00"
นาโยง,"4,468.92","2,469,427.00"
รัษฎา,763.75,"632,925.00"
หาดสำราญ,149,"169,550.00"
เมืองตราด,"12,369.00","10,698,060.00"
คลองใหญ่,41,"41,000.00"
เขาสมิง,"10,009.00","17,311,034.00"
บ่อไร่,"5,681.50","15,606,686.58"
แหลมงอบ,"10,029.00","19,673,036.00"
เมืองตาก,"179,800.00","95,015,800.00"
บ้านตาก,"37,509.50","15,104,431.47"
สามเงา,"76,799.81","66,321,573.00"
แม่ระมาด,"176,421.75","154,413,000.00"
ท่าสองยาง,"104,601.25","50,261,747.00"
แม่สอด,"266,782.00","255,314,260.00"
พบพระ,"98,691.85","145,618,572.00"
อุ้มผาง,"125,813.50","74,890,000.00"
วังเจ้า,"75,016.07","192,303,912.00"
เมืองนครนายก,"118,506.50","67,629,496.00"
ปากพลี,"71,979.00","37,214,350.00"
บ้านนา,"88,352.00","43,986,019.00"
องครักษ์,"215,279.00","174,457,588.00"
เมืองนครปฐม,"67,348.00","332,411,525.50"
กำแพงแสน,"105,555.00","664,957,853.00"
นครชัยศรี,"68,999.50","60,054,409.26"
ดอนตูม,"38,089.00","22,439,755.50"
บางเลน,"301,064.75","187,626,345.10"
สามพราน,"14,764.50","13,023,835.50"
พุทธมณฑล,"27,214.00","21,116,878.00"
เมืองนครพนม,"233,978.50","86,915,185.00"
ปลาปาก,"174,132.75","74,133,919.00"
ท่าอุเทน,"98,351.50","47,929,747.00"
บ้านแพง,"62,411.50","31,476,256.00"
ธาตุพนม,"98,460.39","41,878,259.50"
เรณูนคร,"95,878.50","36,303,937.50"
นาแก,"145,907.20","51,799,764.50"
ศรีสงคราม,"202,835.75","80,306,252.50"
นาหว้า,"134,359.27","49,566,143.43"
โพนสวรรค์,"179,880.28","72,144,882.70"
นาทม,"73,891.00","26,789,840.00"
วังยาง,"47,977.10","17,081,620.00"
เมืองนครราชสีมา,"137,647.00","29,986,070.00"
ครบุรี,"414,672.00","1,129,581,000.00"
เสิงสาง,"244,529.00","23,043,000.00"
คง,"265,708.48","8,799,230.50"
บ้านเหลื่อม,"124,075.00","227,930,174.00"
จักราช,"226,848.75","91,783,355.00"
โชคชัย,"110,733.00","52,752,289.00"
ด่านขุนทด,"581,807.00","1,027,136,300.00"
โนนไทย,"223,026.00","12,469,880.00"
โนนสูง,"295,686.75","10,015,061.00"
ขามสะแกแสง,"129,215.76","39,513,177.55"
บัวใหญ่,"266,117.00","132,166,765.00"
ประทาย,"252,841.38","84,102,698.00"
ปักธงชัย,"160,263.00","195,968,830.00"
พิมาย,"397,924.65","1,124,546,525.00"
ห้วยแถลง,"209,177.00","264,082,520.00"
ชุมพวง,"270,449.00","810,136,627.75"
สูงเนิน,"228,352.75","185,341,800.00"
ขามทะเลสอ,"105,554.00","77,877,955.00"
สีคิ้ว,"387,229.00","606,150,495.50"
ปากช่อง,"203,111.64","80,069,500.00"
หนองบุญมาก,"244,296.00","562,613,800.00"
แก้งสนามนาง,"132,734.00","238,969,800.00"
โนนแดง,"70,095.75","23,962,955.00"
วังน้ำเขียว,"79,550.00","232,320,200.00"
เทพารักษ์,"156,473.00","192,095,720.00"
เมืองยาง,"116,547.00","35,034,190.00"
พระทองคำ,"132,720.00","27,353,170.00"
ลำทะเมนชัย,"117,192.75","21,201,700.00"
บัวลาย,"60,347.00","26,017,050.00"
สีดา,"69,195.00","24,052,000.00"
เฉลิมพระเกียรติ,"60,901.75","45,315,170.20"
เมืองนครศรีธรรมราช,"5,509.51","419,835.00"
พรหมคีรี,406.03,"145,775.00"
ลานสกา,"3,712.50","555,890.00"
ฉวาง,"1,577.28","1,197,074.00"
พิปูน,612,"641,038.00"
เชียรใหญ่,"21,655.00","432,800.00"
ชะอวด,"9,146.00","1,091,360.00"
ท่าศาลา,"3,541.00","1,991,405.00"
ทุ่งสง,"2,026.25","3,690,295.00"
นาบอน,649,"562,915.00"
ทุ่งใหญ่,129.8,"49,404.00"
ปากพนัง,"38,441.67","1,410,570.00"
ร่อนพิบูลย์,"10,485.50","7,626,469.00"
สิชล,641,"6,355,267.01"
ขนอม,"1,510.00","988,280.00"
หัวไทร,"56,605.00","30,059,150.00"
บางขัน,"1,455.00","330,948.00"
ถ้ำพรรณรา,"1,656.00","1,226,080.00"
จุฬาภรณ์,"9,868.25","4,381,013.00"
พระพรหม,"4,196.00","1,800,060.00"
นบพิตำ,488,"838,300.00"
ช้างกลาง,"1,269.00","113,640.00"
เฉลิมพระเกียรติ,"21,950.00","1,531,980.00"
เมืองนครสวรรค์,"192,606.00","466,262,378.00"
โกรกพระ,"119,077.77","188,795,708.00"
ชุมแสง,"327,187.00","238,789,410.00"
หนองบัว,"373,590.50","435,308,521.00"
บรรพตพิสัย,"420,941.00","354,875,283.89"
เก้าเลี้ยว,"164,397.00","214,895,500.00"
ตาคลี,"437,360.00","907,148,667.50"
ท่าตะโก,"584,981.50","506,628,805.00"
ไพศาลี,"370,076.25","532,253,587.50"
พยุหะคีรี,"255,269.00","1,898,414,110.00"
ลาดยาว,"369,581.75","346,899,490.00"
ตากฟ้า,"254,012.00","782,160,030.00"
แม่วงก์,"184,502.22","363,566,240.00"
แม่เปิน,"84,061.00","299,841,340.00"
ชุมตาบง,"124,415.97","501,323,750.00"
เมืองนนทบุรี,28.35,0.55
บางกรวย,"6,078.75","4,530,500.00"
บางใหญ่,"22,227.00","19,189,910.00"
บางบัวทอง,"20,159.72","12,552,715.00"
ไทรน้อย,"102,301.00","61,565,782.00"
ปากเกร็ด,"5,409.54","2,027,897.10"
เมืองนราธิวาส,"1,018.00","219,719.00"
ตากใบ,"16,228.25","2,910,750.00"
บาเจาะ,"9,315.50","4,134,057.00"
ยี่งอ,"3,735.50","946,367.00"
ระแงะ,"2,414.44","1,456,320.50"
รือเสาะ,"2,322.83","751,033.00"
ศรีสาคร,689,"665,320.00"
แว้ง,"2,154.04","1,747,198.00"
สุคิริน,93,"62,824.00"
สุไหงโก-ลก,"1,514.00","1,594,836.50"
สุไหงปาดี,"3,899.00","5,266,256.00"
จะแนะ,595.5,"1,014,966.00"
เจาะไอร้อง,"2,113.00","247,800.00"
เมืองน่าน,"60,768.50","32,887,936.00"
บ้านหลวง,"37,505.00","22,666,050.00"
นาน้อย,"88,243.00","7,396,100.00"
ท่าวังผา,"7,277.25",0
ทุ่งช้าง,"25,321.93","11,894,264.50"
บ่อเกลือ,"17,708.00","6,278,900.00"
สองแคว,43,"2,505.00"
ภูเพียง,317,0
บึงกาฬ,"517,943.59","179,641,306.00"
พรเจริญ,"51,623.75","13,960,595.00"
โซ่พิสัย,"95,586.00","28,615,250.00"
เซกา,"147,337.00","60,201,770.00"
ปากคาด,"29,635.00","9,566,050.00"
บึงโขงหลง,"47,179.75","14,804,934.00"
ศรีวิไล,"50,172.00","17,051,300.00"
บุ่งคล้า,"17,754.80","7,209,830.00"
เมืองบุรีรัมย์,"313,941.00","304,809,980.00"
คูเมือง,"139,287.75","328,854,989.00"
กระสัง,"295,795.00","177,591,510.00"
นางรอง,"283,532.55","234,859,188.04"
หนองกี่,"136,732.00","55,827,272.00"
ละหานทราย,"132,833.00","79,965,710.00"
ประโคนชัย,"315,765.60","132,991,664.50"
บ้านกรวด,"104,081.00","44,780,560.00"
พุทไธสง,"134,393.50","32,470,134.00"
ลำปลายมาศ,"346,113.47","367,390,908.00"
สตึก,"231,014.50","417,506,630.00"
ปะคำ,"105,660.00","109,575,000.00"
นาโพธิ์,"99,305.51","38,090,520.00"
หนองหงส์,"192,074.00","186,157,445.00"
พลับพลาชัย,"127,676.84","146,033,854.10"
ห้วยราช,"85,731.15","34,071,477.00"
โนนสุวรรณ,"64,854.00","30,642,100.00"
ชำนิ,"99,822.00","38,352,400.00"
บ้านใหม่ไชยพจน์,"69,499.75","19,557,070.00"
โนนดินแดง,"39,904.00","50,005,570.00"
บ้านด่าน,"59,858.00","269,685,049.00"
แคนดง,"78,805.00","185,031,550.00"
เฉลิมพระเกียรติ,"81,455.75","34,620,852.00"
เมืองปทุมธานี,"34,007.00","25,629,789.00"
คลองหลวง,"64,595.00","55,778,130.00"
ธัญบุรี,"26,495.00","24,975,206.75"
หนองเสือ,"95,381.30","62,979,357.50"
ลาดหลุมแก้ว,"104,054.50","69,531,540.00"
ลำลูกกา,"181,767.25","124,969,281.00"
สามโคก,"47,483.25","32,200,500.06"
เมืองประจวบคีรีขันธ์,"86,565.25","229,087,045.00"
กุยบุรี,"86,602.75","125,034,135.00"
ทับสะแก,"13,264.16","80,180,069.00"
บางสะพาน,"25,733.00","56,398,140.00"
บางสะพานน้อย,"28,199.00","26,237,050.00"
ปราณบุรี,"92,387.75","100,720,811.10"
หัวหิน,"123,845.00","406,209,730.00"
สามร้อยยอด,"101,083.50","113,550,475.00"
เมืองปราจีนบุรี,"71,890.00","32,573,896.00"
กบินทร์บุรี,"293,792.00","504,680,000.00"
นาดี,"65,835.25","70,270,300.00"
บ้านสร้าง,"127,336.00","84,223,400.00"
ประจันตคาม,"48,381.75","40,756,090.00"
ศรีมหาโพธิ,"99,596.00","78,890,700.00"
ศรีมโหสถ,"39,107.00","21,711,750.00"
เมืองปัตตานี,157,"11,180.00"
โคกโพธิ์,186,"5,100.00"
หนองจิก,451,"321,510.00"
ปะนาเระ,292.75,"1,283,195.00"
มายอ,66.5,0
ทุ่งยางแดง,567.75,"1,229,354.00"
สายบุรี,"5,958.50","3,965,050.00"
ไม้แก่น,76.25,"9,815.00"
ยะหริ่ง,781.25,"198,010.50"
ยะรัง,"4,804.94","458,384.98"
กะพ้อ,"2,539.75","562,510.00"
แม่ลาน,333.25,"228,402.00"
พระนครศรีอยุธยา,"1,309,489.50","1,006,529,196.50"
พระนครศรีอยุธยา,"32,948.50","26,625,649.50"
ท่าเรือ,"57,972.25","44,662,512.50"
นครหลวง,"52,870.25","39,584,886.00"
บางไทร,"164,036.50","130,870,729.50"
บางบาล,"47,622.75","36,708,800.00"
บางปะอิน,"71,946.25","52,347,200.00"
บางปะหัน,"47,945.75","32,111,629.00"
ผักไห่,"127,904.00","100,932,785.00"
ภาชี,"43,244.75","28,854,575.00"
ลาดบัวหลวง,"150,589.75","106,933,401.00"
วังน้อย,"66,267.25","45,113,962.50"
เสนา,"200,884.50","169,644,700.00"
บางซ้าย,"117,694.25","99,547,215.00"
อุทัย,"57,531.50","44,529,053.00"
มหาราช,"44,158.75","30,880,986.00"
บ้านแพรก,"25,872.50","17,181,112.50"
เมืองพะเยา,"102,984.25","41,085,350.00"
จุน,"135,266.75","66,379,977.50"
เชียงคำ,"121,039.50","60,872,150.00"
เชียงม่วน,"48,172.00","29,240,887.50"
ดอกคำใต้,"170,728.50","86,386,240.00"
ปง,"129,350.00","121,994,850.00"
แม่ใจ,"58,978.00","29,496,338.00"
ภูซาง,"39,479.00","19,266,150.00"
ภูกามยาว,"34,315.69","16,426,000.00"
เมืองพังงา,56,"62,614.25"
เกาะยาว,636.71,"446,194.50"
กะปง,317,"1,619,875.00"
ตะกั่วทุ่ง,"1,334.50","828,307.00"
ตะกั่วป่า,"2,754.75","5,073,963.00"
คุระบุรี,"1,086.50","3,373,085.00"
ทับปุด,85.35,"556,824.00"
ท้ายเหมือง,"2,493.50","2,526,160.50"
เมืองพัทลุง,"55,789.00","21,261,000.00"
กงหรา,"5,071.00","74,209.00"
เขาชัยสน,"8,526.91","3,671,530.00"
ตะโหมด,709,"478,030.00"
ควนขนุน,"41,017.11","14,448,424.30"
ปากพะยูน,"12,951.00","4,942,960.00"
ศรีบรรพต,"2,873.00","916,780.00"
ป่าบอน,"11,076.27","9,350,667.00"
บางแก้ว,"2,239.35","1,008,635.00"
ศรีนครินทร์,816,"384,250.00"
เมืองพิจิตร,"251,241.20","152,665,764.00"
